#t dx dy dz
0.0 0.0000 0.0000 0.0000
0.01 59.9443 79.1144 145.4288
0.02 75.3014 52.9284 145.2108
0.03 155.0843 2.8036 369.0718
0.04 245.8453 -0.3278 222.7438
0.05 215.9273 16.7764 285.0008
0.06 240.7823 78.8259 279.9278
0.07 149.9283 43.1905 334.7138
0.08 170.0733 70.2139 408.2648
0.09 157.2993 16.4300 398.2768
0.1 96.9722 -24.0453 577.9578
0.11 5.0669 -24.6549 599.4478
0.12 12.0907 31.5745 622.6868
0.13 24.1183 -43.6918 660.8228
0.14 -11.2912 11.0187 775.5498
0.15 -107.4047 14.0732 625.4668
0.16 -158.3857 -7.8033 760.0728
0.17 -219.6197 -74.3111 567.8778
0.18 -310.1247 -113.8697 723.7878
0.19 -264.9087 -33.2456 775.9478
0.2 -313.7097 -6.5887 882.4428
0.21 -248.2577 2.4112 832.4468
0.22 -183.0157 32.0961 873.8308
0.23 -122.0007 41.4288 760.8098
0.24 -32.1362 -26.0618 788.1218
0.25 -9.5764 18.9468 632.7768
0.26 59.9348 38.5726 747.0718
0.27 47.2858 4.9036 774.2728
0.28 79.6793 97.2753 1039.2948
0.29 57.6723 132.3743 1156.5648
0.3 73.9034 75.1799 1114.1348
0.31 38.3719 70.7331 949.0718
0.32 72.7113 36.6499 1076.6648
0.33 98.3941 65.2786 1004.2948
0.34 124.7403 228.3313 1081.3548
0.35 169.6883 196.0533 1254.1148
0.36 214.1243 167.6813 1300.2748
0.37 228.3903 110.4263 1418.8548
0.38 134.4963 58.1892 1321.9048
0.39 96.6361 185.6203 1261.2148
0.4 90.8787 144.0253 1217.5848
0.41 -56.1416 120.2413 1073.5148
0.42 -37.9948 69.1627 1141.5048
0.43 -15.9818 48.4154 1144.6548
0.44 -28.7997 125.6023 1091.9548
0.45 -104.5867 130.9353 1188.2648
0.46 -33.0327 140.6433 1306.9248
0.47 55.1346 188.7683 1172.1348
0.48 53.9255 138.4643 1167.5948
0.49 197.6773 210.4403 1207.2248
0.5 209.8633 287.4613 1296.7348
0.51 270.9093 300.7303 1383.4948
0.52 293.7023 326.0703 1427.0648
0.53 327.6373 303.9563 1482.9448
0.54 326.3563 281.9723 1377.8148
0.55 299.4433 245.9513 1458.4248
0.56 282.2693 213.3273 1604.5748
0.57 204.5723 212.3933 1649.7448
0.58 170.3163 187.0723 1618.6148
0.59 207.8863 207.7183 1554.3848
0.6 207.1443 266.9353 1730.4248
0.61 173.0633 225.5303 1648.6548
0.62 174.6673 251.6543 1669.9648
0.63 149.8613 186.1083 1803.2848
0.64 133.5743 146.4323 1878.5648
0.65 167.4173 94.0924 1913.2648
0.66 127.1113 123.4673 1928.1448
0.67 125.2733 66.9546 1860.9348
0.68 105.9753 36.2197 1804.3948
0.69 129.4313 -14.2498 1688.3248
0.7 47.7130 -16.2361 1975.9248
0.71 83.7556 -69.5089 1887.6148
0.72 61.8121 -56.2468 1842.2348
0.73 -35.1198 -63.3798 1730.2748
0.74 -98.2843 -98.2358 1651.3848
0.75 -113.8697 -41.6201 1434.8248
0.76 -183.8887 15.8389 1162.8348
0.77 -69.3256 36.9477 1146.0148
0.78 -107.6587 5.4675 1362.0948
0.79 -97.8543 -24.9115 1267.6348
0.8 -71.7163 17.2980 1192.2248
0.81 -35.0186 38.7219 1171.1348
0.82 -29.9946 16.7166 1310.2848
0.83 -92.0216 8.1454 1341.7848
0.84 54.2197 44.3297 1330.5548
0.85 2.0677 67.9358 1105.2748
0.86 41.5889 46.5255 930.4108
0.87 80.6046 -66.1971 808.6578
0.88 57.6933 -140.6847 885.6238
0.89 93.6097 -85.7492 893.3768
0.9 76.5529 -76.6142 945.8108
0.91 -17.4761 -50.0820 798.6978
0.92 -21.4964 -73.5341 728.6328
0.93 -39.0095 -103.1277 902.3698
0.94 50.8314 -141.9177 934.7608
0.95 -3.4382 -136.7947 890.7108
0.96 0.8438 -168.8337 1173.8648
0.97 -13.4276 -177.3687 1152.2048
0.98 12.1014 -217.5077 1075.6248
0.99 -30.7744 -159.6097 1144.3548
1.0 7.6685 -225.7697 1155.6848
1.01 13.7637 -186.8617 1334.2048
1.02 38.2799 -137.6747 1096.4948
1.03 80.8745 -143.1447 939.3138
1.04 152.2683 -137.6207 1103.7648
1.05 82.2776 -206.3927 1095.0548
1.06 120.1273 -272.6187 1102.2548
1.07 136.3523 -247.9137 1086.4148
1.08 239.5923 -204.0487 1036.3548
1.09 307.8183 -245.3077 980.6828
1.1 289.3723 -274.9207 1047.1148
1.11 301.8823 -371.0617 1224.2248
1.12 437.0623 -465.5567 1272.2048
1.13 484.3353 -519.2257 1153.3348
1.14 545.1283 -545.7197 1324.4248
1.15 504.3923 -485.9717 1332.1948
1.16 431.7283 -405.8477 1321.6148
1.17 386.5283 -546.0087 1333.9748
1.18 378.4313 -525.7517 1535.3348
1.19 378.1553 -623.2907 1714.0348
1.2 335.8243 -624.3597 1719.5948
1.21 357.8143 -631.8577 1777.4148
1.22 396.8283 -654.7127 1783.1248
1.23 453.9323 -683.4207 1699.4948
1.24 479.4253 -784.8147 1549.4348
1.25 515.9663 -904.6887 1579.3448
1.26 496.7033 -868.7647 1758.9348
1.27 519.7793 -909.2427 1701.1448
1.28 533.1313 -943.4617 1759.7148
1.29 530.7373 -879.7147 1644.1848
1.3 464.9483 -812.2277 1664.4248
1.31 559.4283 -798.7487 1722.3948
1.32 553.4633 -713.7177 1682.0448
1.33 539.7333 -702.7407 1674.8148
1.34 557.7483 -693.4377 1551.2848
1.35 384.8783 -693.2697 1557.2848
1.36 420.5803 -658.9467 1615.3648
1.37 435.2833 -495.5957 1565.4348
1.38 313.3663 -467.0567 1407.7948
1.39 321.5073 -467.8537 1438.9848
1.4 325.6473 -514.5987 1320.1048
1.41 299.6963 -521.1217 1280.0148
1.42 316.0853 -519.9027 1232.8948
1.43 274.3853 -575.5657 1204.9848
1.44 366.8973 -485.9377 1210.7048
1.45 346.1523 -518.4127 1203.1748
1.46 318.1453 -516.4457 1121.8948
1.47 307.4363 -484.2007 1251.5948
1.48 289.3233 -482.4677 1299.7848
1.49 326.5453 -423.6997 1415.0548
1.5 324.5723 -401.1947 1444.8548
1.51 353.4153 -390.2707 1620.5248
1.52 356.0083 -385.7357 1593.4248
1.53 393.2123 -277.4387 1761.7548
1.54 475.0483 -302.1437 1723.2248
1.55 490.6443 -281.9427 1916.6248
1.56 404.0133 -286.0837 1966.8248
1.57 472.2043 -371.8927 2054.1848
1.58 570.1723 -325.1717 1897.0248
1.59 648.6253 -318.4027 2034.4248
1.6 647.1333 -311.6677 1999.7248
1.61 577.4583 -370.1147 2129.6548
1.62 546.1083 -307.9257 1910.9348
1.63 555.8143 -222.0227 1845.1148
1.64 588.7573 -191.4307 2100.5548
1.65 677.7393 -107.9527 2057.1548
1.66 717.2463 -189.9707 2121.3048
1.67 612.4583 -251.9627 2244.1948
1.68 725.3003 -312.6997 2285.0148
1.69 689.7063 -310.5577 2392.0048
1.7 659.5873 -286.4637 2312.9348
1.71 604.4513 -253.3507 2432.8648
1.72 629.2593 -323.9307 2501.1248
1.73 674.4853 -238.1137 2395.2148
1.74 677.2903 -246.6907 2125.8948
1.75 656.4263 -275.2297 2086.1148
1.76 695.7413 -275.3667 2198.4348
1.77 644.8233 -280.8007 2028.4648
1.78 531.3773 -255.0437 2247.6948
1.79 550.7693 -342.8057 2229.5848
1.8 605.0643 -258.6107 2108.8548
1.81 510.9333 -260.5987 2206.2948
1.82 494.4593 -305.4617 2097.2148
1.83 556.1633 -300.0377 2232.8248
1.84 591.7633 -239.9347 2350.8448
1.85 639.6843 -167.5907 2412.3748
1.86 649.1943 -226.1237 2551.0748
1.87 593.2773 -266.1427 2613.2748
1.88 626.2953 -171.6267 2524.5248
1.89 660.7413 -72.6683 2260.3148
1.9 627.7233 -57.1065 2403.3448
1.91 554.0443 -14.1152 2258.4848
1.92 512.8643 23.7470 2288.0448
1.93 441.2103 -2.6252 2219.4148
1.94 499.8713 39.4570 2290.6148
1.95 624.6363 72.4266 2441.2748
1.96 646.8923 59.0390 2284.9748
1.97 612.1683 31.4908 2277.5748
1.98 606.7663 56.4675 2287.8748
1.99 554.3223 68.1124 2307.0148
2.0 556.7453 153.7613 2001.0248
2.01 619.1113 107.3903 2181.3248
2.02 640.1793 112.9063 2072.0848
2.03 624.7653 150.2213 1939.3248
2.04 622.9833 65.1020 2154.2848
2.05 655.0433 -0.7648 2207.1448
2.06 645.3853 19.5849 2246.0748
2.07 656.3093 5.9733 2106.9748
2.08 625.5293 -11.0217 2052.4848
2.09 593.9153 -51.4362 1996.6348
2.1 560.7353 -21.4751 2048.2148
2.11 568.2603 -35.2284 2127.2648
2.12 556.8773 33.7732 2048.9448
2.13 624.5123 53.1756 2112.9948
2.14 696.5113 54.0213 2056.3548
2.15 646.4703 58.8250 1976.9948
2.16 672.6263 -6.3483 1944.2848
2.17 673.2523 -54.1271 1961.3948
2.18 805.8493 -13.7419 1941.3448
2.19 805.6983 -24.0883 1862.9548
2.2 768.1533 -34.7044 1836.2848
2.21 805.5633 -94.7718 1750.7448
2.22 814.8543 -24.6694 1981.3948
2.23 837.0773 -87.8497 1885.4748
2.24 776.4483 -75.9634 2151.7948
2.25 797.8553 -73.2570 2172.8148
2.26 810.7733 -81.2636 2284.1848
2.27 799.7883 -181.6557 2437.4848
2.28 853.1553 -265.9117 2402.5648
2.29 753.6703 -271.5577 2429.4148
2.3 824.7723 -347.5407 2272.0548
2.31 848.9123 -421.5777 2246.4348
2.32 941.9633 -474.6377 2147.4648
