#t	e1x	e1y	e1z	e2x	e2y	e2z
0	-0.23618	-2.94811	-9.52095	-0.23618	-2.94811	-104.521
0.1	-151.83	53.4651	-522.737	-151.83	53.4651	-617.737
0.2	-23.3516	-23.9084	-768.617	-23.3516	-23.9084	-863.617
0.3	-142.717	-137.822	-1275.01	-142.717	-137.822	-1370.01
0.4	-6.73807	-199.845	-1316.65	-6.73807	-199.845	-1411.65
0.5	-365.569	-97.4447	-562.52	-365.569	-97.4447	-657.52
0.6	-561.418	-681.347	-1121.78	-561.418	-681.347	-1216.78
0.7	-181.664	-549.284	-894.287	-181.664	-549.284	-989.287
0.8	-339.19	-667.182	-839.184	-339.19	-667.182	-934.184
0.9	-224.623	-502.924	-961.521	-224.623	-502.924	-1056.52
1	-486.402	-365.545	-1420.99	-486.402	-365.545	-1515.99
1.1	-414.909	-468.039	-896.545	-414.909	-468.039	-991.545
1.2	-556.783	-817.886	-421.743	-556.783	-817.886	-516.743
1.3	-492.275	-884.249	-528.673	-492.275	-884.249	-623.673
1.4	-137.043	-1047.51	-402.144	-137.043	-1047.51	-497.144
1.5	-237.961	-938.356	-490.127	-237.961	-938.356	-585.127
1.6	-184.391	-896.057	-848.385	-184.391	-896.057	-943.385
1.7	-313.464	-865.548	-366.511	-313.464	-865.548	-461.511
1.8	-619.453	-793.072	-174.088	-619.453	-793.072	-269.088
1.9	-863.968	-725.238	-424.668	-863.968	-725.238	-519.668
2	-937.768	-926.823	-545.185	-937.768	-926.823	-640.185
2.1	-760.463	-714.456	-1427.99	-760.463	-714.456	-1522.99
2.2	-540.358	-611.525	-892.221	-540.358	-611.525	-987.221
2.3	-611.392	-357.615	-747.616	-611.392	-357.615	-842.616
2.4	-325.103	-126.375	-1049.92	-325.103	-126.375	-1144.92
2.5	-93.316	-138.171	-1636.66	-93.316	-138.171	-1731.66
2.6	-6.20532	-0.287886	-1401.01	-6.20532	-0.287886	-1496.01
2.7	24.7983	-59.786	-1622.37	24.7983	-59.786	-1717.37
2.8	-164.791	-63.0629	-1390.7	-164.791	-63.0629	-1485.7
2.9	-113.705	-452.487	-1474.19	-113.705	-452.487	-1569.19
3	-64.0949	-395.85	-1214.15	-64.0949	-395.85	-1309.15
3.1	-312.885	-520.432	-691.45	-312.885	-520.432	-786.45
3.2	-137.745	-543.111	-919.621	-137.745	-543.111	-1014.62
3.3	-112.388	-482.409	-885.03	-112.388	-482.409	-980.03
3.4	-259.284	-424.935	-877.302	-259.284	-424.935	-972.302
3.5	-381.147	-336.483	-748.549	-381.147	-336.483	-843.549
3.6	-401.825	-329.348	-886.635	-401.825	-329.348	-981.635
3.7	-285.018	-85.7691	-1477.17	-285.018	-85.7691	-1572.17
3.8	-417.805	-95.5329	-1286.85	-417.805	-95.5329	-1381.85
3.9	-551.635	41.1543	-1456.97	-551.635	41.1543	-1551.97
4	-659.503	279.965	-1287.11	-659.503	279.965	-1382.11
4.1	-907.685	184.316	-2014.1	-907.685	184.316	-2109.1
4.2	-941.877	491.159	-1659.24	-941.877	491.159	-1754.24
4.3	-858.221	580.097	-2023.94	-858.221	580.097	-2118.94
4.4	-1081.66	344.684	-1938.62	-1081.66	344.684	-2033.62
4.5	-959.126	416.307	-1009.31	-959.126	416.307	-1104.31
4.6	-1272.37	653.917	-1419.62	-1272.37	653.917	-1514.62
4.7	-1293.93	694.86	-1384.79	-1293.93	694.86	-1479.79
4.8	-1333.79	789.898	-1746.25	-1333.79	789.898	-1841.25
4.9	-1474.27	637.243	-2306.19	-1474.27	637.243	-2401.19
5	-1351.81	572.55	-2648.61	-1351.81	572.55	-2743.61
5.1	-1688.34	661.081	-2359.45	-1688.34	661.081	-2454.45
5.2	-1624.18	673.772	-2891.39	-1624.18	673.772	-2986.39
5.3	-1707.26	514.489	-3194.75	-1707.26	514.489	-3289.75
5.4	-1967.44	564.259	-3249.62	-1967.44	564.259	-3344.62
5.5	-1963.58	618.983	-2745.38	-1963.58	618.983	-2840.38
5.6	-2012.73	359.271	-2650.19	-2012.73	359.271	-2745.19
5.7	-1976.03	825.333	-2707.33	-1976.03	825.333	-2802.33
5.8	-1876.65	983.511	-2744.38	-1876.65	983.511	-2839.38
5.9	-1958.32	846.231	-2310.58	-1958.32	846.231	-2405.58
6	-1898.47	807.338	-2334.05	-1898.47	807.338	-2429.05
