#t hx hy hz
0.0 0.0000 0.0000 -1.0000
0.01 0.0000 0.0000 -1.0000
0.02 0.0000 0.0000 -1.0000
0.03 0.0000 0.0000 -1.0000
0.04 0.0000 0.0000 -1.0000
0.05 0.0000 0.0000 -1.0000
0.06 0.0000 0.0000 -1.0000
0.07 0.0000 0.0000 -1.0000
0.08 0.0000 0.0000 -1.0000
0.09 0.0000 0.0000 -1.0000
0.1 0.0000 0.0000 -1.0000
0.11 0.0000 0.0000 -1.0000
0.12 0.0000 0.0000 -1.0000
0.13 0.0000 0.0000 -1.0000
0.14 0.0000 0.0000 -1.0000
0.15 0.0000 0.0000 -1.0000
0.16 0.0000 0.0000 -1.0000
0.17 0.0000 0.0000 -1.0000
0.18 0.0000 0.0000 -1.0000
0.19 0.0000 0.0000 -1.0000
0.2 0.0000 0.0000 -1.0000
0.21 0.0000 0.0000 -1.0000
0.22 0.0000 0.0000 -1.0000
0.23 0.0000 0.0000 -1.0000
0.24 0.0000 0.0000 -1.0000
0.25 0.0000 0.0000 -1.0000
0.26 0.0000 0.0000 -1.0000
0.27 0.0000 0.0000 -1.0000
0.28 0.0000 0.0000 -1.0000
0.29 0.0000 0.0000 -1.0000
0.3 0.0000 0.0000 -1.0000
0.31 0.0000 0.0000 -1.0000
0.32 0.0000 0.0000 -1.0000
0.33 0.0000 0.0000 -1.0000
0.34 0.0000 0.0000 -1.0000
0.35 0.0000 0.0000 -1.0000
0.36 0.0000 0.0000 -1.0000
0.37 0.0000 0.0000 -1.0000
0.38 0.0000 0.0000 -1.0000
0.39 0.0000 0.0000 -1.0000
0.4 0.0000 0.0000 -1.0000
0.41 0.0000 0.0000 -1.0000
0.42 0.0000 0.0000 -1.0000
0.43 0.0000 0.0000 -1.0000
0.44 0.0000 0.0000 -1.0000
0.45 0.0000 0.0000 -1.0000
0.46 0.0000 0.0000 -1.0000
0.47 0.0000 0.0000 -1.0000
0.48 0.0000 0.0000 -1.0000
0.49 0.0000 0.0000 -1.0000
0.5 0.0000 0.0000 -1.0000
0.51 0.0000 0.0000 -1.0000
0.52 0.0000 0.0000 -1.0000
0.53 0.0000 0.0000 -1.0000
0.54 0.0000 0.0000 -1.0000
0.55 0.0000 0.0000 -1.0000
0.56 0.0000 0.0000 -1.0000
0.57 0.0000 0.0000 -1.0000
0.58 0.0000 0.0000 -1.0000
0.59 0.0000 0.0000 -1.0000
0.6 0.0000 0.0000 -1.0000
0.61 0.0000 0.0000 -1.0000
0.62 0.0000 0.0000 -1.0000
0.63 0.0000 0.0000 -1.0000
0.64 0.0000 0.0000 -1.0000
0.65 0.0000 0.0000 -1.0000
0.66 0.0000 0.0000 -1.0000
0.67 0.0000 0.0000 -1.0000
0.68 0.0000 0.0000 -1.0000
0.69 0.0000 0.0000 -1.0000
0.7 0.0000 0.0000 -1.0000
0.71 0.0000 0.0000 -1.0000
0.72 0.0000 0.0000 -1.0000
0.73 0.0000 0.0000 -1.0000
0.74 0.0000 0.0000 -1.0000
0.75 0.0000 0.0000 -1.0000
0.76 0.0000 0.0000 -1.0000
0.77 0.0000 0.0000 -1.0000
0.78 0.0000 0.0000 -1.0000
0.79 0.0000 0.0000 -1.0000
0.8 0.0000 0.0000 -1.0000
0.81 0.0000 0.0000 -1.0000
0.82 0.0000 0.0000 -1.0000
0.83 0.0000 0.0000 -1.0000
0.84 0.0000 0.0000 -1.0000
0.85 0.0000 0.0000 -1.0000
0.86 0.0000 0.0000 -1.0000
0.87 0.0000 0.0000 -1.0000
0.88 0.0000 0.0000 -1.0000
0.89 0.0000 0.0000 -1.0000
0.9 0.0000 0.0000 -1.0000
0.91 0.0000 0.0000 -1.0000
0.92 0.0000 0.0000 -1.0000
0.93 0.0000 0.0000 -1.0000
0.94 0.0000 0.0000 -1.0000
0.95 0.0000 0.0000 -1.0000
0.96 0.0000 0.0000 -1.0000
0.97 0.0000 0.0000 -1.0000
0.98 0.0000 0.0000 -1.0000
0.99 0.0000 0.0000 -1.0000
1.0 0.0000 0.0000 -1.0000
1.01 0.0000 0.0000 -1.0000
1.02 0.0000 0.0000 -1.0000
1.03 0.0000 0.0000 -1.0000
1.04 0.0000 0.0000 -1.0000
1.05 0.0000 0.0000 -1.0000
1.06 0.0000 0.0000 -1.0000
1.07 0.0000 0.0000 -1.0000
1.08 0.0000 0.0000 -1.0000
1.09 0.0000 0.0000 -1.0000
1.1 0.0000 0.0000 -1.0000
1.11 0.0000 0.0000 -1.0000
1.12 0.0000 0.0000 -1.0000
1.13 0.0000 0.0000 -1.0000
1.14 0.0000 0.0000 -1.0000
1.15 0.0000 0.0000 -1.0000
1.16 0.0000 0.0000 -1.0000
1.17 0.0000 0.0000 -1.0000
1.18 0.0000 0.0000 -1.0000
1.19 0.0000 0.0000 -1.0000
1.2 0.0000 0.0000 -1.0000
1.21 0.0000 0.0000 -1.0000
1.22 0.0000 0.0000 -1.0000
1.23 0.0000 0.0000 -1.0000
1.24 0.0000 0.0000 -1.0000
1.25 0.0000 0.0000 -1.0000
1.26 0.0000 0.0000 -1.0000
1.27 0.0000 0.0000 -1.0000
1.28 0.0000 0.0000 -1.0000
1.29 0.0000 0.0000 -1.0000
1.3 0.0000 0.0000 -1.0000
1.31 0.0000 0.0000 -1.0000
1.32 0.0000 0.0000 -1.0000
1.33 0.0000 0.0000 -1.0000
1.34 0.0000 0.0000 -1.0000
1.35 0.0000 0.0000 -1.0000
1.36 0.0000 0.0000 -1.0000
1.37 0.0000 0.0000 -1.0000
1.38 0.0000 0.0000 -1.0000
1.39 0.0000 0.0000 -1.0000
1.4 0.0000 0.0000 -1.0000
1.41 0.0000 0.0000 -1.0000
1.42 0.0000 0.0000 -1.0000
1.43 0.0000 0.0000 -1.0000
1.44 0.0000 0.0000 -1.0000
1.45 0.0000 0.0000 -1.0000
1.46 0.0000 0.0000 -1.0000
1.47 0.0000 0.0000 -1.0000
1.48 0.0000 0.0000 -1.0000
1.49 0.0000 0.0000 -1.0000
1.5 0.0000 0.0000 -1.0000
1.51 0.0000 0.0000 -1.0000
1.52 0.0000 0.0000 -1.0000
1.53 0.0000 0.0000 -1.0000
1.54 0.0000 0.0000 -1.0000
1.55 0.0000 0.0000 -1.0000
1.56 0.0000 0.0000 -1.0000
1.57 0.0000 0.0000 -1.0000
1.58 0.0000 0.0000 -1.0000
1.59 0.0000 0.0000 -1.0000
1.6 0.0000 0.0000 -1.0000
1.61 0.0000 0.0000 -1.0000
1.62 0.0000 0.0000 -1.0000
1.63 0.0000 0.0000 -1.0000
1.64 0.0000 0.0000 -1.0000
1.65 0.0000 0.0000 -1.0000
1.66 0.0000 0.0000 -1.0000
1.67 0.0000 0.0000 -1.0000
1.68 0.0000 0.0000 -1.0000
1.69 0.0000 0.0000 -1.0000
1.7 0.0000 0.0000 -1.0000
1.71 0.0000 0.0000 -1.0000
1.72 0.0000 0.0000 -1.0000
1.73 0.0000 0.0000 -1.0000
1.74 0.0000 0.0000 -1.0000
1.75 0.0000 0.0000 -1.0000
1.76 0.0000 0.0000 -1.0000
1.77 0.0000 0.0000 -1.0000
1.78 0.0000 0.0000 -1.0000
1.79 0.0000 0.0000 -1.0000
1.8 0.0000 0.0000 -1.0000
1.81 0.0000 0.0000 -1.0000
1.82 0.0000 0.0000 -1.0000
1.83 0.0000 0.0000 -1.0000
1.84 0.0000 0.0000 -1.0000
1.85 0.0000 0.0000 -1.0000
1.86 0.0000 0.0000 -1.0000
1.87 0.0000 0.0000 -1.0000
1.88 0.0000 0.0000 -1.0000
1.89 0.0000 0.0000 -1.0000
1.9 0.0000 0.0000 -1.0000
1.91 0.0000 0.0000 -1.0000
1.92 0.0000 0.0000 -1.0000
1.93 0.0000 0.0000 -1.0000
1.94 0.0000 0.0000 -1.0000
1.95 0.0000 0.0000 -1.0000
1.96 0.0000 0.0000 -1.0000
1.97 0.0000 0.0000 -1.0000
1.98 0.0000 0.0000 -1.0000
1.99 0.0000 0.0000 -1.0000
2.0 0.0000 0.0000 -1.0000
2.01 0.0000 0.0000 -1.0000
2.02 0.0000 0.0000 -1.0000
2.03 0.0000 0.0000 -1.0000
2.04 0.0000 0.0000 -1.0000
2.05 0.0000 0.0000 -1.0000
2.06 0.0000 0.0000 -1.0000
2.07 0.0000 0.0000 -1.0000
2.08 0.0000 0.0000 -1.0000
2.09 0.0000 0.0000 -1.0000
2.1 0.0000 0.0000 -1.0000
2.11 0.0000 0.0000 -1.0000
2.12 0.0000 0.0000 -1.0000
2.13 0.0000 0.0000 -1.0000
2.14 0.0000 0.0000 -1.0000
2.15 0.0000 0.0000 -1.0000
2.16 0.0000 0.0000 -1.0000
2.17 0.0000 0.0000 -1.0000
2.18 0.0000 0.0000 -1.0000
2.19 0.0000 0.0000 -1.0000
2.2 0.0000 0.0000 -1.0000
2.21 0.0000 0.0000 -1.0000
2.22 0.0000 0.0000 -1.0000
2.23 0.0000 0.0000 -1.0000
2.24 0.0000 0.0000 -1.0000
2.25 0.0000 0.0000 -1.0000
2.26 0.0000 0.0000 -1.0000
2.27 0.0000 0.0000 -1.0000
2.28 0.0000 0.0000 -1.0000
2.29 0.0000 0.0000 -1.0000
2.3 0.0000 0.0000 -1.0000
2.31 0.0000 0.0000 -1.0000
2.32 0.0000 0.0000 -1.0000
2.33 0.0000 0.0000 -1.0000
2.34 0.0000 0.0000 -1.0000
2.35 0.0000 0.0000 -1.0000
2.36 0.0000 0.0000 -1.0000
2.37 0.0000 0.0000 -1.0000
2.38 0.0000 0.0000 -1.0000
2.39 0.0000 0.0000 -1.0000
2.4 0.0000 0.0000 -1.0000
2.41 0.0000 0.0000 -1.0000
2.42 0.0000 0.0000 -1.0000
2.43 0.0000 0.0000 -1.0000
2.44 0.0000 0.0000 -1.0000
2.45 0.0000 0.0000 -1.0000
2.46 0.0000 0.0000 -1.0000
2.47 0.0000 0.0000 -1.0000
2.48 0.0000 0.0000 -1.0000
2.49 0.0000 0.0000 -1.0000
2.5 0.0000 0.0000 -1.0000
2.51 0.0000 0.0000 -1.0000
2.52 0.0000 0.0000 -1.0000
2.53 0.0000 0.0000 -1.0000
2.54 0.0000 0.0000 -1.0000
2.55 0.0000 0.0000 -1.0000
2.56 0.0000 0.0000 -1.0000
2.57 0.0000 0.0000 -1.0000
2.58 0.0000 0.0000 -1.0000
2.59 0.0000 0.0000 -1.0000
2.6 0.0000 0.0000 -1.0000
2.61 0.0000 0.0000 -1.0000
2.62 0.0000 0.0000 -1.0000
2.63 0.0000 0.0000 -1.0000
2.64 0.0000 0.0000 -1.0000
2.65 0.0000 0.0000 -1.0000
2.66 0.0000 0.0000 -1.0000
2.67 0.0000 0.0000 -1.0000
2.68 0.0000 0.0000 -1.0000
2.69 0.0000 0.0000 -1.0000
2.7 0.0000 0.0000 -1.0000
2.71 0.0000 0.0000 -1.0000
2.72 0.0000 0.0000 -1.0000
2.73 0.0000 0.0000 -1.0000
2.74 0.0000 0.0000 -1.0000
2.75 0.0000 0.0000 -1.0000
2.76 0.0000 0.0000 -1.0000
2.77 0.0000 0.0000 -1.0000
2.78 0.0000 0.0000 -1.0000
2.79 0.0000 0.0000 -1.0000
2.8 0.0000 0.0000 -1.0000
2.81 0.0000 0.0000 -1.0000
2.82 0.0000 0.0000 -1.0000
2.83 0.0000 0.0000 -1.0000
2.84 0.0000 0.0000 -1.0000
2.85 0.0000 0.0000 -1.0000
2.86 0.0000 0.0000 -1.0000
2.87 0.0000 0.0000 -1.0000
2.88 0.0000 0.0000 -1.0000
2.89 0.0000 0.0000 -1.0000
2.9 0.0000 0.0000 -1.0000
2.91 0.0000 0.0000 -1.0000
2.92 0.0000 0.0000 -1.0000
2.93 0.0000 0.0000 -1.0000
2.94 0.0000 0.0000 -1.0000
2.95 0.0000 0.0000 -1.0000
2.96 0.0000 0.0000 -1.0000
2.97 0.0000 0.0000 -1.0000
2.98 0.0000 0.0000 -1.0000
2.99 0.0000 0.0000 -1.0000
3.0 0.0000 0.0000 -1.0000
3.01 0.0000 0.0000 -1.0000
3.02 0.0000 0.0000 -1.0000
3.03 0.0000 0.0000 -1.0000
3.04 0.0000 0.0000 -1.0000
3.05 0.0000 0.0000 -1.0000
3.06 0.0000 0.0000 -1.0000
3.07 0.0000 0.0000 -1.0000
3.08 0.0000 0.0000 -1.0000
3.09 0.0000 0.0000 -1.0000
3.1 0.0000 0.0000 -1.0000
3.11 0.0000 0.0000 -1.0000
3.12 0.0000 0.0000 -1.0000
3.13 0.0000 0.0000 -1.0000
3.14 0.0000 0.0000 -1.0000
3.15 0.0000 0.0000 -1.0000
3.16 0.0000 0.0000 -1.0000
3.17 0.0000 0.0000 -1.0000
3.18 0.0000 0.0000 -1.0000
3.19 0.0000 0.0000 -1.0000
3.2 0.0000 0.0000 -1.0000
3.21 0.0000 0.0000 -1.0000
